"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","APC-A","DAPI-A","FITC-A","PE-A","V-510_50-A","Time"
137649,49680,181582,93819.2,24065,255497,106047,87.1,152.5,209.88,108.54,110.137
127849,35121,238567,141870,28187,262143,81284.8,79.06,111.02,255.42,109.88,110.338
120188,38549,204327,106985,21347,262143,210122,75.71,164.7,285.12,136.01,111.501
131983,44860,192814,111915,23102,262143,115781,146.06,145.18,243.54,195.64,111.898
107546,36676,192174,110125,23660,262143,202263,140.7,157.38,332.64,194.3,114.045
88287.5,42478,136212,7776.28,3055,166817,126.25,2.68,10.98,20.79,18.09,115.161
128546,45730,184220,112314,25300,262143,106313,161.47,173.24,293.04,208.37,115.275
144225,52438,180249,107714,21008,262143,117315,154.77,174.46,267.3,168.84,116.471
112026,37417,196214,119089,25619,262143,146887,125.96,147.62,289.08,140.7,117.263
135549,46383,191522,118601,23470,262143,165776,101.84,167.14,359.37,162.81,117.837
135125,48137,183965,123202,26390,262143,122837,125.29,174.46,300.96,181.57,118.083
133217,46319,188487,100640,22175,262143,108375,119.26,140.3,250.47,186.93,118.121
119774,37966,206750,122357,24756,262143,141760,101.84,196.42,363.33,180.9,118.324
119857,38607,203459,117628,23460,262143,196423,135.34,158.6,333.63,207.7,118.691
131116,44587,192720,112023,23105,262143,107103,140.03,163.48,333.63,202.34,120.084
137992,46911,192779,119143,25885,262143,229808,151.42,191.54,330.66,161.47,120.716
124267,40468,201245,118152,26601,262143,160737,90.45,156.16,277.2,131.32,120.825
136750,46762,191652,111412,24480,262143,119755,137.35,159.82,289.08,182.91,121.683
115915,37567,202215,126357,27220,262143,146157,93.8,167.14,354.42,174.2,122.066
126309,43204,191598,108884,24001,262143,200625,102.51,150.06,310.86,125.29,122.542
163828,52251,205481,127030,22881,262143,54100.6,145.39,192.76,254.43,176.21,122.558
116439,38397,198739,114354,25560,262143,240349,95.14,131.76,321.75,140.03,123.099
139418,51515,177363,105190,25217,262143,159886,572.18,1213.9,462.33,696.8,123.18
4859.54,5027,63352.9,29.28,47,40827.5,16.16,12.06,-8.54,-6.93,-4.02,123.29
142250,50743,183720,91624.4,19393,262143,161365,98.49,126.88,240.57,131.32,125.394
137688,48847,184731,103778,23230,262143,164301,120.6,125.66,304.92,139.36,125.791
134701,43874,201208,121473,24077,262143,128254,150.75,170.8,295.02,184.92,126.278
11293.9,12564,58911.2,79.3,81,64160.6,3.03,-16.75,31.72,-9.9,-3.35,126.544
135241,48712,181950,122084,26772,262143,160560,117.92,176.9,319.77,168.84,127.313
119187,41746,187109,121075,29554,262143,117537,125.29,135.42,283.14,172.86,127.5
137616,48778,184895,99051.8,22637,262143,153828,96.48,130.54,300.96,134.67,127.697
116212,35710,213275,108013,22467,262143,175077,103.85,111.02,274.23,139.36,127.802
